MSnDCG@0003	105.0	45.0
NCUrb,P	72.0	78.0
ERP	78.0	72.0
Nor-nDCG-raw-binom	101.0	49.0
Q@0003	107.0	43.0
P-measure	102.0	48.0
Nor-lwfv-exp-step	101.0	49.0
Nor-lwofv-exp-step	106.0	44.0
P-plus	101.0	49.0
O-measure	96.0	54.0
Nor-lwfv-raw-step	102.0	48.0
NCUgu,BR	100.0	50.0
Nor-tbg-exp-step	104.0	46.0
MSnDCG@0005	99.0	51.0
RR	57.0	93.0
ERR	107.0	43.0
nERR@0003	117.0	33.0
Nor-lwofv-raw-step	106.0	44.0
Q@0005	106.0	44.0
Nor-nDCG-exp-step	105.0	45.0
AP@0005	72.0	78.0
AP@0003	71.0	79.0
RBP	84.0	66.0
AP	71.0	79.0
Nor-nDCG-exp-binom	105.0	45.0
Nor-tbg-raw-binom	109.0	41.0
Q-measure	106.0	44.0
Nor-tbg-raw-step	110.0	40.0
Nor-lwfv-exp-binom	102.0	48.0
Nor-lwfv-raw-binom	103.0	47.0
NCUrb,BR	110.0	40.0
Hit@0005	45.0	105.0
Nor-lwofv-raw-binom	107.0	43.0
Hit@0003	48.0	102.0
Nor-nDCG-raw-step	102.0	48.0
nERR@0005	108.0	42.0
P@0005	70.0	80.0
P@0003	70.0	80.0
Nor-lwofv-exp-binom	107.0	43.0
nDCG@0005	98.0	52.0
NCUgu,P	94.0	56.0
Nor-tbg-exp-binom	104.0	46.0
nDCG@0003	101.0	49.0
